speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'Ses01M_impro07_M',000,b'',exc,,sd,qy^d,sd,qy^d,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_F',000,b'',neu,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',001,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',001,b'',exc,,qy,qy,qy,qy^d,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_M',002,b'',exc,,sd,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_M',003,b'',exc,,sd,sd,na,sd,sv,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01M_impro07_F',002,b'',xxx,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',003,b'',exc,,bf,^2,bf,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01M_impro07_F',004,b'',exc,,sv,ba,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_F',005,b'',exc,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',004,b'',exc,,sd,sd,sd,aa,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_F',006,b'',exc,,sv,qy,sv,qy,qy^d,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',005,b'',exc,,sd,sv,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_F',007,b'',exc,,qy,sd,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_M',006,b'',hap,,sd,sd,na,sd,h,sd,AllNotMatch,NotConMatch,ConfMatchSecond124
b'Ses01M_impro07_F',008,b'',exc,,sv,ad,sv,ad,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_F',009,b'',exc,,ba,fc,fc,fc,fc,fc,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_M',007,b'',exc,,fc,fc,fc,ft,fc,fc,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_M',008,b'',exc,,sd,sd,sd,fc,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_F',010,b'',neu,,b,b,b,b,b,b,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',011,b'',exc,,sv,qy,sv,qy^d,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_M',009,b'',exc,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',010,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',012,b'',neu,,sd,sd,sv,b^m,b,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',013,b'',exc,,qy,qy,qy,sv,qy,qy,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_F',014,b'',exc,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',011,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',012,b'',xxx,,sd,sd,sd,qy^d,qy,sd,AllNotMatch,NotConMatch,ConfMatchSecond124
b'Ses01M_impro07_F',015,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',013,b'',hap,,sv,sv,ad,sd,sv,sv,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01M_impro07_F',016,b'',exc,,sd,qy^d,ad,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01M_impro07_F',017,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',014,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',018,b'',exc,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_M',015,b'',xxx,,sv,sv,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses01M_impro07_F',019,b'',xxx,,sv,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_impro07_F',020,b'',neu,,ba,sv,sv,aa,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_F',021,b'',exc,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
