utt_keys,utterance,emotion,v,a,d,emo_evo,start,end
Ses01M_impro07_M000,,exc,4,4,3,"[['exc'], ['exc'], ['hap'], ['exc']]",2.6812,7.98
Ses01M_impro07_F000,,neu,4,2,2.5,"[['exc'], ['neu'], ['neu'], ['hap']]",7.63,8.57
Ses01M_impro07_M001,,exc,4,3,3,"[['exc'], ['exc'], ['hap'], ['exc']]",8.22,14.75
Ses01M_impro07_F001,,exc,4.5,4,3,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",13.95,21.12
Ses01M_impro07_M002,,exc,5,3.5,4,"[['exc'], ['exc'], ['exc', 'hap'], ['exc']]",15.54,20.67
Ses01M_impro07_M003,,exc,4,4,3,"[['exc'], ['exc'], ['exc', 'hap'], ['exc']]",20.92,34.38
Ses01M_impro07_F002,,xxx,3.5,3,2,"[['exc'], ['hap'], ['neu'], ['hap']]",23.88,25.25
Ses01M_impro07_F003,,exc,3.5,3,3,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",27.06,29.81
Ses01M_impro07_F004,,exc,4,3.5,3,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",30.31,33.08
Ses01M_impro07_F005,,exc,4.5,4,3,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",33.72,37.27
Ses01M_impro07_M004,,exc,4.5,3.5,2.5,"[['exc'], ['exc'], ['exc', 'hap'], ['exc', 'hap']]",34.76,38.66
Ses01M_impro07_F006,,exc,3.5,3.5,3,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",37.88,42.5825
Ses01M_impro07_M005,,exc,4,4,3,"[['exc'], ['exc'], ['exc', 'hap'], ['exc', 'hap']]",38.78,48.28
Ses01M_impro07_F007,,exc,3.5,2.5,3,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",45.145,49.2825
Ses01M_impro07_M006,,hap,4,3,2,"[['exc'], ['hap'], ['hap'], ['exc', 'sur']]",48.73,52.86
Ses01M_impro07_F008,,exc,4,2.5,3,"[['exc'], ['exc'], ['hap'], ['hap']]",49.64,52.1
Ses01M_impro07_F009,,exc,4,2.5,3.5,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",52.46,57.4562
Ses01M_impro07_M007,,exc,4,4,2.5,"[['exc'], ['exc'], ['hap'], ['exc']]",54.63,56.31
Ses01M_impro07_M008,,exc,4,3,2.5,"[['exc'], ['hap'], ['exc'], ['exc', 'neu']]",56.53,61.35
Ses01M_impro07_F010,,neu,3,2,2,"[['exc'], ['neu'], ['neu'], ['hap']]",58.78,60.21
Ses01M_impro07_F011,,exc,3,2.5,2.5,"[['exc'], ['exc'], ['hap'], ['neu', 'hap']]",60.81,66.77
Ses01M_impro07_M009,,exc,3,2.5,2.5,"[['exc'], ['hap'], ['exc'], ['neu']]",61.59,63.56
Ses01M_impro07_M010,,exc,3.5,3,3,"[['exc'], ['exc'], ['exc'], ['neu', 'hap']]",66.3983,78.9
Ses01M_impro07_F012,,neu,4,3,2.5,"[['exc'], ['neu'], ['neu'], ['hap']]",68.64,72.35
Ses01M_impro07_F013,,exc,3.5,2.5,2.5,"[['exc'], ['exc'], ['hap'], ['hap']]",72.84,76.23
Ses01M_impro07_F014,,exc,4,3,3,"[['exc'], ['exc'], ['hap'], ['hap']]",76.59,87.8575
Ses01M_impro07_M011,,hap,4,3,2.5,"[['exc'], ['hap'], ['hap'], ['hap']]",80.6825,83.82
Ses01M_impro07_M012,,xxx,3.5,2.5,2.5,"[['exc'], ['hap'], ['neu'], ['sur', 'neu']]",87.43,90.44
Ses01M_impro07_F015,,exc,4,2.5,2.5,"[['exc'], ['exc'], ['exc'], ['neu', 'hap']]",88.4125,92.41
Ses01M_impro07_M013,,hap,3.5,2.5,2.5,"[['exc'], ['hap'], ['hap'], ['exc', 'hap']]",90.92,102.61
Ses01M_impro07_F016,,exc,4,3,2.5,"[['exc'], ['exc'], ['hap'], ['hap']]",95.26,101.5
Ses01M_impro07_F017,,xxx,3.5,2.5,3,"[['exc'], ['hap'], ['neu'], ['neu']]",101.62,109.02
Ses01M_impro07_M014,,xxx,3,3,2.5,"[['exc'], ['hap'], ['neu'], ['sur', 'neu']]",106.5475,112.35
Ses01M_impro07_F018,,exc,3.5,3,2.5,"[['exc'], ['exc'], ['exc'], ['neu']]",111.59,116.34
